upi,true_val,pred_val,pred_prob,pred_correct
UPI000005CB7F,VAL,VAL,1.0,1.0
UPI000005D474,VAL,VAL,1.0,1.0
UPI000009B40C,endolysin,endolysin,0.97,1.0
UPI000009B74C,VAL,VAL,0.97,1.0
UPI000009B8E6,endolysin,endolysin,1.0,1.0
UPI000009B938,VAL,VAL,0.98,1.0
UPI000009BD64,VAL,VAL,0.98,1.0
UPI000009BF5F,endolysin,endolysin,1.0,1.0
UPI000009C4CC,VAL,endolysin,0.78,0.0
UPI000012563A,endolysin,endolysin,0.92,1.0
UPI000012EA37,endolysin,endolysin,0.89,1.0
UPI000012EA43,endolysin,endolysin,0.97,1.0
UPI0000136BE1,VAL,endolysin,0.58,0.0
UPI000019203B,endolysin,endolysin,0.96,1.0
UPI00001B3F19,endolysin,endolysin,0.99,1.0
UPI00001CE275,VAL,VAL,0.95,1.0
UPI000021CB6A,VAL,VAL,1.0,1.0
UPI0000358DA9,endolysin,endolysin,0.98,1.0
UPI000044CD48,VAL,VAL,0.83,1.0
UPI000048EF19,endolysin,endolysin,0.94,1.0
UPI00004C9820,VAL,VAL,0.76,1.0
UPI0000505C44,endolysin,endolysin,0.9,1.0
UPI0000505C45,endolysin,endolysin,0.97,1.0
UPI00006C2043,endolysin,endolysin,0.98,1.0
UPI0000E0DA6C,endolysin,endolysin,0.98,1.0
UPI0000EA272B,endolysin,endolysin,0.97,1.0
UPI0000F350AC,VAL,VAL,0.82,1.0
UPI0000F597CF,endolysin,endolysin,0.99,1.0
UPI00015A1EF9,VAL,VAL,0.85,1.0
UPI00015A3731,VAL,VAL,1.0,1.0
UPI000162F2AB,endolysin,endolysin,0.99,1.0
UPI0001710918,endolysin,endolysin,1.0,1.0
UPI0001710936,VAL,endolysin,0.67,0.0
UPI00017304D2,VAL,VAL,0.66,1.0
UPI00017992C0,endolysin,endolysin,1.0,1.0
UPI00017F8C9D,VAL,VAL,0.98,1.0
UPI0001814951,endolysin,endolysin,1.0,1.0
UPI000189C150,VAL,VAL,1.0,1.0
UPI000198878E,endolysin,endolysin,0.99,1.0
UPI00019D95C1,endolysin,endolysin,1.0,1.0
UPI0001A52368,endolysin,endolysin,0.99,1.0
UPI0001B07E66,VAL,VAL,0.81,1.0
UPI0001B5B242,endolysin,endolysin,1.0,1.0
UPI0001B62F65,endolysin,endolysin,1.0,1.0
UPI0001BEF40C,endolysin,endolysin,1.0,1.0
UPI0001CB27DC,endolysin,endolysin,1.0,1.0
UPI0001DDCF7D,VAL,VAL,0.99,1.0
UPI0001E16105,endolysin,endolysin,0.67,1.0
UPI0001F1F845,VAL,VAL,0.98,1.0
UPI0001F3A50F,endolysin,endolysin,0.69,1.0
UPI0001F3A523,endolysin,endolysin,0.95,1.0
UPI0001F65923,VAL,VAL,0.99,1.0
UPI000201BE9F,endolysin,endolysin,1.0,1.0
